LINE_ID,NAME,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,NUM_LINES
l_902,South Morang Terminal to Rowville Terminal,191,195,2.6126255097090503e-06,0.00653754588658838,0.0008061458625073352,1
l_903,Hazelwood Power Station to Jeeralang Terminal,271,274,1.1771389231713514e-06,0.0026235584445780747,1.528443736967331e-05,2
l_905,Hazelwood Power Station to Jeeralang Terminal,271,274,1.3637909871536319e-06,0.003039560828850059,1.770800159450707e-05,1
l_906,Jeeralang Terminal to Hazelwood Power Station,271,274,1.3366307687679729e-06,0.0029790272597872793,1.7355342576365142e-05,1
l_907,Hazelwood Power Station to Hazelwood Terminal,272,274,1.2660380523343464e-06,0.0028216931391669324,1.6438738824806237e-05,1
l_908,Hazelwood Power Station to Hazelwood Terminal,272,274,1.2584733993945042e-06,0.0028048333542172025,1.634051637900448e-05,1
l_909,Loy Yang A Power Station to Loy Yang Power Station,275,35,3.477329285554948e-08,8.701285233039272e-05,1.0729569185129352e-05,1
l_910,Loy Yang A Power Station to Loy Yang Power Station,275,35,2.7397470623177132e-08,6.85564083753527e-05,8.453702034203941e-06,1
l_911,Loy Yang A Power Station to Loy Yang Power Station,275,35,2.273353165291107e-08,5.688588195775002e-05,7.014607495053777e-06,1
l_912,Loy Yang A Power Station to Loy Yang Power Station,275,35,2.6581802342471265e-08,6.65153700430189e-05,8.202021260504869e-06,1
l_920,Hazelwood Power Station to Rowville Terminal,274,191,3.9461735727446984e-05,0.08795068106874705,0.0005123867849002942,2
l_923,Yallourn Power Station to Rowville Terminal,273,191,3.6749254119473724e-05,0.08190521448168639,0.00047716685084037597,1
l_924,Yallourn Power Station to Rowville Terminal,273,191,3.6714779070551365e-05,0.08182837792149193,0.0004767192131693264,1
l_925,Yallourn Power Station to Rowville Terminal,273,191,3.6754335061864634e-05,0.08191653867550387,0.00047723282380603377,2
l_927,Rowville Terminal Station to Templestowe Terminal Station,191,192,7.903899395320981e-06,0.017615883389382574,0.00010262735596110855,1
l_928,Rowville Terminal Station to Ringwood Terminal Station,191,193,4.5645873887937816e-06,0.010173363189470618,5.926840807749202e-05,1
l_929,Thomastown Terminal to South Morang Terminal,194,195,2.9192549273132982e-06,0.006506314391333819,3.7904760622833715e-05,2
l_931,Jindabyne Power Station to Jindabyne Substation,207,211,3.742720268346464e-06,0.007808059909338197,6.72854811343871e-06,1
l_940,Mount Gambier to Blanche,651,652,1.6524069121415022e-05,0.034472499250673465,2.9706466457977797e-05,1
l_941,Snuggery Power Station to Snuggery Substation,655,654,1.0752891203443116e-07,0.00022432672680657695,1.9331219175753082e-07,1
l_942,Snuggery Power Station to Snuggery Substation,655,654,1.4071430534995467e-07,0.00029355806672636084,2.52971877648386e-07,2
l_945,Ladbroke Grove Power Station to Penola West,656,653,9.349669582278087e-08,0.00019505272902267152,1.6808550230473424e-07,1
l_946,Penola West to South East,657,653,3.555670246558272e-05,0.07417836309536424,6.392275300889551e-05,1
l_947,South East to Tailem Bend,657,879,6.867746231904788e-05,0.15795987041740278,0.002109631110390891,2
l_949,Robertstown to Tungkillo,472,759,2.378494962774933e-05,0.05470597535520331,0.000730624982336649,1
l_950,Tailem Bend to Tungkillo,879,759,1.3832346744513985e-05,0.0318147413365623,0.0004249013873922275,1
l_951,Mannum to Mannum-Adelaide Pumping Station 2,756,758,1.068230439686508e-05,0.022285414543513057,1.9204320372160652e-05,1
l_952,Mannum-Adelaide Pumping Station 2 to Pump 3 Tee,758,757,3.022395919093914e-06,0.006305319851341879,5.43357101290095e-06,1
l_953,Mannum-Adelaide Pumping Station 3 to Pump 3 Tee,757,760,1.4563644302682007e-07,0.00030382662625190487,2.6182074633351224e-07,1
l_954,Millbrook Tee to Para,795,123,1.786133964625815e-05,0.037262311906798136,3.211057053788696e-05,1
l_955,Magill to East Terrace,404,128,1.7656561560324408e-06,0.004061053046964715,5.4237344119020025e-05,1
l_956,Happy Valley to Cherry Gardens,13,12,2.016977597705993e-06,0.004639098609793536,6.195742453782962e-05,1
l_957,Kilburn to Northfield,121,636,2.1321063705125497e-06,0.004903897648950731,6.549394485486635e-05,1
l_958,Torrens A Power Station to Northfield,636,638,2.757276497574338e-06,0.006341804480754594,8.469789189661341e-05,1
